#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=9.296889e-12; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                                  Unnamed: 1                                                  Unnamed: 2
                                                                                                                                                                                                                                 #"Frequency / GHz" SZmax(1),Zmax(1) (e=9.29689e-12) [Real/Imaginary Part] [Re] SZmax(1),Zmax(1) (e=9.29689e-12) [Real/Imaginary Part] [Im]
                                                                                                     #---------------------------------------------------------------------------------------------------------------------------------------------                                                         NaN                                                         NaN
                                                                                                                                                                                                                                                  1                                                    0.015163                                                    0.050079
                                                                                                                                                                                                                                              1.024                                                     0.01584                                                    0.051116
                                                                                                                                                                                                                                              1.048                                                    0.016534                                                    0.052146
                                                                                                                                                                                                                                              1.072                                                    0.017243                                                    0.053171
                                                                                                                                                                                                                                              1.096                                                    0.017969                                                     0.05419
                                                                                                                                                                                                                                               1.12                                                     0.01871                                                    0.055202
                                                                                                                                                                                                                                              1.144                                                    0.019468                                                    0.056208
                                                                                                                                                                                                                                              1.168                                                    0.020242                                                    0.057207
                                                                                                                                                                                                                                              1.192                                                    0.021032                                                    0.058199
                                                                                                                                                                                                                                              1.216                                                    0.021838                                                    0.059184
                                                                                                                                                                                                                                               1.24                                                    0.022659                                                    0.060161
                                                                                                                                                                                                                                              1.264                                                    0.023496                                                    0.061131
                                                                                                                                                                                                                                              1.288                                                    0.024349                                                    0.062094
                                                                                                                                                                                                                                              1.312                                                    0.025218                                                    0.063048
                                                                                                                                                                                                                                              1.336                                                    0.026102                                                    0.063994
                                                                                                                                                                                                                                               1.36                                                    0.027002                                                    0.064931
                                                                                                                                                                                                                                              1.384                                                    0.027917                                                     0.06586
                                                                                                                                                                                                                                              1.408                                                    0.028848                                                     0.06678
                                                                                                                                                                                                                                              1.432                                                    0.029793                                                    0.067691
                                                                                                                                                                                                                                              1.456                                                    0.030754                                                    0.068593
                                                                                                                                                                                                                                               1.48                                                     0.03173                                                    0.069485
                                                                                                                                                                                                                                              1.504                                                    0.032721                                                    0.070368
                                                                                                                                                                                                                                              1.528                                                    0.033726                                                    0.071241
                                                                                                                                                                                                                                              1.552                                                    0.034747                                                    0.072103
                                                                                                                                                                                                                                              1.576                                                    0.035782                                                    0.072956
                                                                                                                                                                                                                                                1.6                                                    0.036832                                                    0.073798
                                                                                                                                                                                                                                              1.624                                                    0.037896                                                    0.074629
                                                                                                                                                                                                                                              1.648                                                    0.038975                                                    0.075449
                                                                                                                                                                                                                                              1.672                                                    0.040068                                                    0.076259
                                                                                                                                                                                                                                              1.696                                                    0.041175                                                    0.077057
                                                                                                                                                                                                                                               1.72                                                    0.042296                                                    0.077844
                                                                                                                                                                                                                                              1.744                                                    0.043431                                                    0.078619
                                                                                                                                                                                                                                              1.768                                                    0.044579                                                    0.079382
                                                                                                                                                                                                                                              1.792                                                    0.045742                                                    0.080133
                                                                                                                                                                                                                                              1.816                                                    0.046918                                                    0.080872
                                                                                                                                                                                                                                               1.84                                                    0.048107                                                    0.081599
                                                                                                                                                                                                                                              1.864                                                    0.049309                                                    0.082313
                                                                                                                                                                                                                                              1.888                                                    0.050525                                                    0.083015
                                                                                                                                                                                                                                              1.912                                                    0.051754                                                    0.083704
                                                                                                                                                                                                                                              1.936                                                    0.052995                                                    0.084379
                                                                                                                                                                                                                                               1.96                                                     0.05425                                                    0.085041
                                                                                                                                                                                                                                              1.984                                                    0.055517                                                     0.08569
                                                                                                                                                                                                                                              2.008                                                    0.056796                                                    0.086326
                                                                                                                                                                                                                                              2.032                                                    0.058088                                                    0.086947
                                                                                                                                                                                                                                              2.056                                                    0.059391                                                    0.087555
                                                                                                                                                                                                                                               2.08                                                    0.060707                                                    0.088148
                                                                                                                                                                                                                                              2.104                                                    0.062035                                                    0.088728
                                                                                                                                                                                                                                              2.128                                                    0.063374                                                    0.089293
                                                                                                                                                                                                                                              2.152                                                    0.064725                                                    0.089843
                                                                                                                                                                                                                                              2.176                                                    0.066087                                                    0.090379
                                                                                                                                                                                                                                                2.2                                                     0.06746                                                    0.090899
                                                                                                                                                                                                                                              2.224                                                    0.068845                                                    0.091405
                                                                                                                                                                                                                                              2.248                                                     0.07024                                                    0.091896
                                                                                                                                                                                                                                              2.272                                                    0.071646                                                    0.092371
                                                                                                                                                                                                                                              2.296                                                    0.073062                                                    0.092831
                                                                                                                                                                                                                                               2.32                                                    0.074489                                                    0.093275
                                                                                                                                                                                                                                              2.344                                                    0.075926                                                    0.093704
                                                                                                                                                                                                                                              2.368                                                    0.077373                                                    0.094116
                                                                                                                                                                                                                                              2.392                                                    0.078831                                                    0.094513
                                                                                                                                                                                                                                              2.416                                                    0.080297                                                    0.094893
                                                                                                                                                                                                                                               2.44                                                    0.081773                                                    0.095257
                                                                                                                                                                                                                                              2.464                                                    0.083259                                                    0.095605
                                                                                                                                                                                                                                              2.488                                                    0.084754                                                    0.095936
                                                                                                                                                                                                                                              2.512                                                    0.086257                                                     0.09625
                                                                                                                                                                                                                                              2.536                                                     0.08777                                                    0.096548
                                                                                                                                                                                                                                               2.56                                                    0.089291                                                    0.096829
                                                                                                                                                                                                                                              2.584                                                     0.09082                                                    0.097093
                                                                                                                                                                                                                                              2.608                                                    0.092358                                                    0.097339
                                                                                                                                                                                                                                              2.632                                                    0.093903                                                    0.097569
                                                                                                                                                                                                                                              2.656                                                    0.095457                                                    0.097781
                                                                                                                                                                                                                                               2.68                                                    0.097018                                                    0.097975
                                                                                                                                                                                                                                              2.704                                                    0.098586                                                    0.098152
                                                                                                                                                                                                                                              2.728                                                    0.100162                                                    0.098311
