#Parameters = {d=6.875; d_passa_faixa=11.118252561128; e=3.984381e-11; l=5; p=11; p_passa_faixa=11.773094507628; phi=0; r=300; theta=0; u=1.2566e-06; w=0.6875; w_passa_faixa=0.13385049465315; z_fss=0.2}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                        #"Frequency / GHz" SZmax(1),Zmax(1) [Real/Imaginary Part] [Re] SZmax(1),Zmax(1) [Real/Imaginary Part] [Im]
                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                         1                                   -0.009193                                   -0.032967
                                                                                                                                                                                                     1.024                                   -0.009728                                   -0.033676
                                                                                                                                                                                                     1.048                                   -0.010274                                   -0.034379
                                                                                                                                                                                                     1.072                                   -0.010834                                   -0.035076
                                                                                                                                                                                                     1.096                                   -0.011406                                   -0.035766
                                                                                                                                                                                                      1.12                                    -0.01199                                   -0.036449
                                                                                                                                                                                                     1.144                                   -0.012587                                   -0.037126
                                                                                                                                                                                                     1.168                                   -0.013196                                   -0.037796
                                                                                                                                                                                                     1.192                                   -0.013818                                   -0.038459
                                                                                                                                                                                                     1.216                                   -0.014452                                   -0.039114
                                                                                                                                                                                                      1.24                                   -0.015097                                   -0.039762
                                                                                                                                                                                                     1.264                                   -0.015755                                   -0.040403
                                                                                                                                                                                                     1.288                                   -0.016425                                   -0.041035
                                                                                                                                                                                                     1.312                                   -0.017107                                    -0.04166
                                                                                                                                                                                                     1.336                                     -0.0178                                   -0.042277
                                                                                                                                                                                                      1.36                                   -0.018505                                   -0.042886
                                                                                                                                                                                                     1.384                                   -0.019222                                   -0.043486
                                                                                                                                                                                                     1.408                                    -0.01995                                   -0.044078
                                                                                                                                                                                                     1.432                                   -0.020689                                   -0.044661
                                                                                                                                                                                                     1.456                                    -0.02144                                   -0.045236
                                                                                                                                                                                                      1.48                                   -0.022202                                   -0.045801
                                                                                                                                                                                                     1.504                                   -0.022976                                   -0.046358
                                                                                                                                                                                                     1.528                                    -0.02376                                   -0.046905
                                                                                                                                                                                                     1.552                                   -0.024555                                   -0.047443
                                                                                                                                                                                                     1.576                                   -0.025361                                   -0.047971
                                                                                                                                                                                                       1.6                                   -0.026178                                    -0.04849
