#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=9.296889e-12; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                                  Unnamed: 1                                                  Unnamed: 2
                                                                                                                                                                                                                                 #"Frequency / GHz" SZmin(1),Zmax(1) (e=9.29689e-12) [Real/Imaginary Part] [Re] SZmin(1),Zmax(1) (e=9.29689e-12) [Real/Imaginary Part] [Im]
                                                                                                     #---------------------------------------------------------------------------------------------------------------------------------------------                                                         NaN                                                         NaN
                                                                                                                                                                                                                                                  1                                                    0.955779                                                   -0.289395
                                                                                                                                                                                                                                              1.024                                                    0.953679                                                   -0.296112
                                                                                                                                                                                                                                              1.048                                                     0.95153                                                   -0.302813
                                                                                                                                                                                                                                              1.072                                                    0.949331                                                   -0.309497
                                                                                                                                                                                                                                              1.096                                                    0.947083                                                   -0.316165
                                                                                                                                                                                                                                               1.12                                                    0.944786                                                   -0.322816
                                                                                                                                                                                                                                              1.144                                                    0.942439                                                   -0.329449
                                                                                                                                                                                                                                              1.168                                                    0.940045                                                   -0.336065
                                                                                                                                                                                                                                              1.192                                                    0.937601                                                   -0.342663
                                                                                                                                                                                                                                              1.216                                                    0.935109                                                   -0.349242
                                                                                                                                                                                                                                               1.24                                                    0.932569                                                   -0.355802
                                                                                                                                                                                                                                              1.264                                                    0.929981                                                   -0.362343
                                                                                                                                                                                                                                              1.288                                                    0.927345                                                   -0.368865
                                                                                                                                                                                                                                              1.312                                                    0.924661                                                   -0.375366
                                                                                                                                                                                                                                              1.336                                                    0.921929                                                   -0.381848
                                                                                                                                                                                                                                               1.36                                                     0.91915                                                   -0.388308
                                                                                                                                                                                                                                              1.384                                                    0.916324                                                   -0.394747
                                                                                                                                                                                                                                              1.408                                                    0.913451                                                   -0.401165
                                                                                                                                                                                                                                              1.432                                                     0.91053                                                   -0.407561
                                                                                                                                                                                                                                              1.456                                                    0.907563                                                   -0.413935
                                                                                                                                                                                                                                               1.48                                                     0.90455                                                   -0.420286
                                                                                                                                                                                                                                              1.504                                                     0.90149                                                   -0.426615
                                                                                                                                                                                                                                              1.528                                                    0.898384                                                    -0.43292
                                                                                                                                                                                                                                              1.552                                                    0.895232                                                   -0.439202
                                                                                                                                                                                                                                              1.576                                                    0.892034                                                    -0.44546
                                                                                                                                                                                                                                                1.6                                                    0.888791                                                   -0.451693
                                                                                                                                                                                                                                              1.624                                                    0.885502                                                   -0.457902
                                                                                                                                                                                                                                              1.648                                                    0.882168                                                   -0.464086
