#Parameters = {d=6.875; d_passa_faixa=11.118252561128; e=3.984381e-11; l=5; p=11; p_passa_faixa=11.773094507628; phi=0; r=300; theta=0; u=1.2566e-06; w=0.6875; w_passa_faixa=0.13385049465315; z_fss=0.2}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                        #"Frequency / GHz" SZmin(1),Zmax(1) [Real/Imaginary Part] [Re] SZmin(1),Zmax(1) [Real/Imaginary Part] [Im]
                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                         1                                    0.948637                                   -0.304284
                                                                                                                                                                                                     1.024                                    0.946279                                   -0.311315
                                                                                                                                                                                                     1.048                                    0.943867                                   -0.318327
                                                                                                                                                                                                     1.072                                      0.9414                                   -0.325321
                                                                                                                                                                                                     1.096                                     0.93888                                   -0.332295
                                                                                                                                                                                                      1.12                                    0.936305                                   -0.339249
                                                                                                                                                                                                     1.144                                    0.933677                                   -0.346183
                                                                                                                                                                                                     1.168                                    0.930996                                   -0.353096
                                                                                                                                                                                                     1.192                                    0.928261                                   -0.359988
                                                                                                                                                                                                     1.216                                    0.925473                                   -0.366858
                                                                                                                                                                                                      1.24                                    0.922632                                   -0.373706
                                                                                                                                                                                                     1.264                                    0.919738                                   -0.380532
                                                                                                                                                                                                     1.288                                    0.916791                                   -0.387336
                                                                                                                                                                                                     1.312                                    0.913792                                   -0.394116
                                                                                                                                                                                                     1.336                                    0.910741                                   -0.400872
                                                                                                                                                                                                      1.36                                    0.907638                                   -0.407604
                                                                                                                                                                                                     1.384                                    0.904483                                   -0.414312
                                                                                                                                                                                                     1.408                                    0.901276                                   -0.420995
                                                                                                                                                                                                     1.432                                    0.898017                                   -0.427652
                                                                                                                                                                                                     1.456                                    0.894708                                   -0.434284
                                                                                                                                                                                                      1.48                                    0.891347                                    -0.44089
                                                                                                                                                                                                     1.504                                    0.887935                                   -0.447469
                                                                                                                                                                                                     1.528                                    0.884473                                   -0.454022
                                                                                                                                                                                                     1.552                                     0.88096                                   -0.460547
                                                                                                                                                                                                     1.576                                    0.877397                                   -0.467044
                                                                                                                                                                                                       1.6                                    0.873784                                   -0.473513
                                                                                                                                                                                                     1.624                                    0.870121                                   -0.479954
                                                                                                                                                                                                     1.648                                    0.866409                                   -0.486366
                                                                                                                                                                                                     1.672                                    0.862647                                   -0.492748
                                                                                                                                                                                                     1.696                                    0.858836                                   -0.499101
                                                                                                                                                                                                      1.72                                    0.854977                                   -0.505424
                                                                                                                                                                                                     1.744                                    0.851068                                   -0.511716
                                                                                                                                                                                                     1.768                                    0.847112                                   -0.517978
                                                                                                                                                                                                     1.792                                    0.843107                                   -0.524208
                                                                                                                                                                                                     1.816                                    0.839054                                   -0.530407
                                                                                                                                                                                                      1.84                                    0.834954                                   -0.536574
                                                                                                                                                                                                     1.864                                    0.830806                                   -0.542708
                                                                                                                                                                                                     1.888                                    0.826612                                    -0.54881
                                                                                                                                                                                                     1.912                                     0.82237                                   -0.554878
                                                                                                                                                                                                     1.936                                    0.818081                                   -0.560913
                                                                                                                                                                                                      1.96                                    0.813747                                   -0.566914
                                                                                                                                                                                                     1.984                                    0.809366                                   -0.572881
                                                                                                                                                                                                     2.008                                     0.80494                                   -0.578814
                                                                                                                                                                                                     2.032                                    0.800467                                   -0.584711
                                                                                                                                                                                                     2.056                                     0.79595                                   -0.590573
                                                                                                                                                                                                      2.08                                    0.791388                                     -0.5964
                                                                                                                                                                                                     2.104                                    0.786781                                    -0.60219
                                                                                                                                                                                                     2.128                                    0.782129                                   -0.607944
                                                                                                                                                                                                     2.152                                    0.777434                                   -0.613662
                                                                                                                                                                                                     2.176                                    0.772694                                   -0.619342
                                                                                                                                                                                                       2.2                                    0.767911                                   -0.624985
                                                                                                                                                                                                     2.224                                    0.763085                                    -0.63059
                                                                                                                                                                                                     2.248                                    0.758216                                   -0.636157
                                                                                                                                                                                                     2.272                                    0.753304                                   -0.641686
                                                                                                                                                                                                     2.296                                     0.74835                                   -0.647175
                                                                                                                                                                                                      2.32                                    0.743354                                   -0.652626
                                                                                                                                                                                                     2.344                                    0.738316                                   -0.658037
                                                                                                                                                                                                     2.368                                    0.733236                                   -0.663408
                                                                                                                                                                                                     2.392                                    0.728116                                   -0.668739
                                                                                                                                                                                                     2.416                                    0.722954                                    -0.67403
                                                                                                                                                                                                      2.44                                    0.717753                                    -0.67928
                                                                                                                                                                                                     2.464                                    0.712511                                   -0.684489
                                                                                                                                                                                                     2.488                                    0.707229                                   -0.689656
                                                                                                                                                                                                     2.512                                    0.701907                                   -0.694782
                                                                                                                                                                                                     2.536                                    0.696547                                   -0.699865
                                                                                                                                                                                                      2.56                                    0.691148                                   -0.704906
                                                                                                                                                                                                     2.584                                     0.68571                                   -0.709904
                                                                                                                                                                                                     2.608                                    0.680234                                    -0.71486
                                                                                                                                                                                                     2.632                                     0.67472                                   -0.719772
                                                                                                                                                                                                     2.656                                    0.669168                                    -0.72464
                                                                                                                                                                                                      2.68                                     0.66358                                   -0.729465
                                                                                                                                                                                                     2.704                                    0.657954                                   -0.734245
                                                                                                                                                                                                     2.728                                    0.652293                                   -0.738981
                                                                                                                                                                                                     2.752                                    0.646595                                   -0.743671
                                                                                                                                                                                                     2.776                                    0.640861                                   -0.748317
                                                                                                                                                                                                       2.8                                    0.635092                                   -0.752917
                                                                                                                                                                                                     2.824                                    0.629288                                   -0.757472
                                                                                                                                                                                                     2.848                                    0.623449                                   -0.761981
                                                                                                                                                                                                     2.872                                    0.617576                                   -0.766443
                                                                                                                                                                                                     2.896                                    0.611669                                   -0.770859
                                                                                                                                                                                                      2.92                                    0.605728                                   -0.775228
                                                                                                                                                                                                     2.944                                    0.599754                                    -0.77955
                                                                                                                                                                                                     2.968                                    0.593747                                   -0.783825
                                                                                                                                                                                                     2.992                                    0.587708                                   -0.788052
                                                                                                                                                                                                     3.016                                    0.581637                                   -0.792231
                                                                                                                                                                                                      3.04                                    0.575534                                   -0.796361
                                                                                                                                                                                                     3.064                                    0.569399                                   -0.800444
                                                                                                                                                                                                     3.088                                    0.563234                                   -0.804478
                                                                                                                                                                                                     3.112                                    0.557038                                   -0.808462
                                                                                                                                                                                                     3.136                                    0.550812                                   -0.812398
                                                                                                                                                                                                      3.16                                    0.544556                                   -0.816284
                                                                                                                                                                                                     3.184                                    0.538271                                   -0.820121
                                                                                                                                                                                                     3.208                                    0.531957                                   -0.823907
                                                                                                                                                                                                     3.232                                    0.525614                                   -0.827644
                                                                                                                                                                                                     3.256                                    0.519243                                    -0.83133
                                                                                                                                                                                                      3.28                                    0.512844                                   -0.834965
                                                                                                                                                                                                     3.304                                    0.506418                                    -0.83855
                                                                                                                                                                                                     3.328                                    0.499965                                   -0.842083
                                                                                                                                                                                                     3.352                                    0.493485                                   -0.845565
                                                                                                                                                                                                     3.376                                    0.486979                                   -0.848995
                                                                                                                                                                                                       3.4                                    0.480447                                   -0.852374
                                                                                                                                                                                                     3.424                                     0.47389                                   -0.855701
                                                                                                                                                                                                     3.448                                    0.467308                                   -0.858975
                                                                                                                                                                                                     3.472                                    0.460702                                   -0.862197
                                                                                                                                                                                                     3.496                                    0.454071                                   -0.865367
                                                                                                                                                                                                      3.52                                    0.447417                                   -0.868484
                                                                                                                                                                                                     3.544                                    0.440739                                   -0.871547
                                                                                                                                                                                                     3.568                                    0.434039                                   -0.874557
                                                                                                                                                                                                     3.592                                    0.427316                                   -0.877514
                                                                                                                                                                                                     3.616                                    0.420572                                   -0.880418
                                                                                                                                                                                                      3.64                                    0.413805                                   -0.883267
                                                                                                                                                                                                     3.664                                    0.407018                                   -0.886063
                                                                                                                                                                                                     3.688                                     0.40021                                   -0.888804
                                                                                                                                                                                                     3.712                                    0.393382                                   -0.891491
                                                                                                                                                                                                     3.736                                    0.386534                                   -0.894124
                                                                                                                                                                                                      3.76                                    0.379667                                   -0.896702
                                                                                                                                                                                                     3.784                                     0.37278                                   -0.899224
                                                                                                                                                                                                     3.808                                    0.365876                                   -0.901692
