#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=9.296889e-12; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                                                                 #"Frequency / GHz" SZmin(2),Zmax(2) [Real/Imaginary Part] [Re] SZmin(2),Zmax(2) [Real/Imaginary Part] [Im]
                                                                                                                                     #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                                                                  1                                    0.955779                                   -0.289395
                                                                                                                                                                                                                                              1.024                                    0.953679                                   -0.296112
                                                                                                                                                                                                                                              1.048                                    0.951529                                   -0.302812
                                                                                                                                                                                                                                              1.072                                     0.94933                                   -0.309497
                                                                                                                                                                                                                                              1.096                                    0.947082                                   -0.316165
                                                                                                                                                                                                                                               1.12                                    0.944785                                   -0.322816
                                                                                                                                                                                                                                              1.144                                    0.942439                                    -0.32945
                                                                                                                                                                                                                                              1.168                                    0.940044                                   -0.336066
                                                                                                                                                                                                                                              1.192                                    0.937601                                   -0.342663
                                                                                                                                                                                                                                              1.216                                    0.935109                                   -0.349243
                                                                                                                                                                                                                                               1.24                                    0.932569                                   -0.355803
                                                                                                                                                                                                                                              1.264                                     0.92998                                   -0.362344
                                                                                                                                                                                                                                              1.288                                    0.927344                                   -0.368866
                                                                                                                                                                                                                                              1.312                                     0.92466                                   -0.375368
                                                                                                                                                                                                                                              1.336                                    0.921928                                   -0.381849
                                                                                                                                                                                                                                               1.36                                    0.919149                                   -0.388309
                                                                                                                                                                                                                                              1.384                                    0.916323                                   -0.394749
                                                                                                                                                                                                                                              1.408                                    0.913449                                   -0.401167
                                                                                                                                                                                                                                              1.432                                    0.910529                                   -0.407563
                                                                                                                                                                                                                                              1.456                                    0.907562                                   -0.413937
                                                                                                                                                                                                                                               1.48                                    0.904548                                   -0.420288
                                                                                                                                                                                                                                              1.504                                    0.901488                                   -0.426617
                                                                                                                                                                                                                                              1.528                                    0.898382                                   -0.432922
                                                                                                                                                                                                                                              1.552                                     0.89523                                   -0.439204
                                                                                                                                                                                                                                              1.576                                    0.892032                                   -0.445462
                                                                                                                                                                                                                                                1.6                                    0.888789                                   -0.451695
                                                                                                                                                                                                                                              1.624                                      0.8855                                   -0.457904
                                                                                                                                                                                                                                              1.648                                    0.882166                                   -0.464088
                                                                                                                                                                                                                                              1.672                                    0.878788                                   -0.470246
                                                                                                                                                                                                                                              1.696                                    0.875364                                   -0.476379
